Weapon,Type,Country
Smith & Wesson Model 10,Sidearms,Austria
Roth–Steyr M1907,Sidearms,Austria
Steyr M1912,Sidearms,Austria
Luger P08,Sidearms,Austria
Dreyse M1907,Sidearms,Austria
Mauser C96,Sidearms,Austria
Walther P38,Sidearms,Austria
Steyr-Mannlicher M1895,Rifles,Austria
MP 34,Submachine guns,Austria
MP 40,Submachine guns,Austria
Browning M1918,Machine guns,Austria
Schwarzlose M1907/12,Machine guns,Austria
MG 30,Machine guns,Austria
Browning Hi-Power,Sidearms,Belgium
Ruby pistol,Sidearms,Belgium
FN M1903,Sidearms,Belgium
FN M1910 and M1922,Sidearms,Belgium
Nagant M1895,Sidearms,Belgium
Lee–Enfield No.4 Mk I,Rifles,Belgium
Belgian Mauser M1935,Rifles,Belgium
Mosin–Nagant M1891/30,Rifles,Belgium
Gewehr 98,Rifles,Belgium
Mauser M1889,Rifles,Belgium
Sten,Submachine guns,Belgium
MP 18,Submachine guns,Belgium
MP 28,Submachine guns,Belgium
Lewis gun,Light machine guns,Belgium
Browning M1918,Light machine guns,Belgium
FN M1930,Light machine guns,Belgium
MG 08/15,Light machine guns,Belgium
Browning M1917,Heavy machine guns,Belgium
Hotchkiss M1914,Heavy machine guns,Belgium
Vickers machine gun,Heavy machine guns,Belgium
MG 08,Heavy machine guns,Belgium
PIAT,Anti-tank weapons,Belgium
M1924,Bayonets,Belgium
M1917 revolver,Sidearms,Brazil
Browning Hi-Power,Sidearms,Brazil
Colt M1911,Sidearms,Brazil
Luger P08,Sidearms,Brazil
M1 Garand,Rifles,Brazil
M1 Carbine,Rifles,Brazil
Springfield M1903,Rifles,Brazil
FN M1924,Rifles,Brazil
Vz. 24,Rifles,Brazil
Vz. 33,Rifles,Brazil
Mauser M1908,Rifles,Brazil
Coach gun,Shotguns,Brazil
Winchester 1897,Shotguns,Brazil
Browning Auto-5,Shotguns,Brazil
Ithaca 37,Shotguns,Brazil
M3 grease gun,Submachine guns,Brazil
M50 Reising,Submachine guns,Brazil
Thompson submachine gun,Submachine guns,Brazil
MP18,Submachine guns,Brazil
Browning M1918,Light machine guns,Brazil
Hotchkiss M1909,Light machine guns,Brazil
Madsen machine gun,Light machine guns,Brazil
Browning M1919,Medium machine guns,Brazil
Browning M1917,Heavy machine guns,Brazil
Browning M2,Heavy machine guns,Brazil
Hotchkiss M1914,Heavy machine guns,Brazil
MG 08,Heavy machine guns,Brazil
M2 flamethrower,Flamethrowers,Brazil
M1 Bazooka,Anti-tank weapons,Brazil
M18 recoilless rifle,Anti-tank weapons,Brazil
Mk 2 grenade,Grenades,Brazil
Molotov Cocktail,Grenades,Brazil
Luger P08 pistol,Sidearms,Bulgaria
Walther PP,Sidearms,Bulgaria
Tokarev TT-33,Sidearms,Bulgaria
Mosin–Nagant M1891/30,Rifles,Bulgaria
Steyr-Mannlicher M1895,Rifles,Bulgaria
Karabiner 98k,Rifles,Bulgaria
ZK-383,Submachine guns,Bulgaria
MP 34,Submachine guns,Bulgaria
MP 40,Submachine guns,Bulgaria
PPSh-41,Submachine guns,Bulgaria
PPS-43,Submachine guns,Bulgaria
Maxim M1910,Machine guns,Bulgaria
Bren light machine gun,Machine guns,Bulgaria
Madsen machine gun,Machine guns,Bulgaria
Schwarzlose M1907/12,Machine guns,Bulgaria
MG 08,Machine guns,Bulgaria
MG 30,Machine guns,Bulgaria
MG 34,Machine guns,Bulgaria
Degtyaryov DP-28,Machine guns,Bulgaria
Brandt M1927/31,Mortars,Bulgaria
8 cm Granatwerfer 34,Mortars,Bulgaria
Solothurn S-18/100,Anti-tank weapons,Bulgaria
Panzerschreck,Anti-tank weapons,Bulgaria
Panzerfaust,Anti-tank weapons,Bulgaria
Browning Hi-Power,Sidearms,Canada
Enfield Revolver,Sidearms,Canada
Colt M1911,Sidearms,Canada
Colt Police Positive,Sidearms,Canada
Smith & Wesson Victory Model,Sidearms,Canada
Smith & Wesson Triple Lock,Sidearms,Canada
Webley Revolver,Sidearms,Canada
M1 Carbine,Rifles,Canada
M1917 Enfield,Rifles,Canada
No.III Lee–Enfield,Rifles,Canada
No.4 Mk I Lee–Enfield,Rifles,Canada
Ross Rifle,Rifles,Canada
M50 Reising,Submachine guns,Canada
Thompson submachine gun,Submachine guns,Canada
Sten,Submachine guns,Canada
Lanchester submachine gun,Submachine guns,Canada
Lewis Gun,Machine guns,Canada
Browning M1917,Machine guns,Canada
Browning M1918,Machine guns,Canada
Browning M1919,Machine guns,Canada
M1941 Johnson machine gun,Machine guns,Canada
Bren light machine gun,Machine guns,Canada
Vickers machine gun,Machine guns,Canada
"Flamethrower, Portable, No 2",Flamethrowers,Canada
M1 Bazooka,Anti-tank weapons,Canada
PIAT,Anti-tank weapons,Canada
Boys anti tank rifle,Anti-tank weapons,Canada
Mk.2 Frag Grenade+A30,Grenades,Canada
No 68 AT Grenade,Grenades,Canada
Mills bomb,Grenades,Canada
M1917 revolver (American Lend Lease),Sidearms,China
Browning Hi-Power (Limited numbers in the Burma Campaign X-Forces and Y-Forces),Sidearms,China
Colt M1903 Pocket Hammerless (Officers only),Sidearms,China
Colt M1911A1 (American Lend Lease),Sidearms,China
Astra 900,Sidearms,China
FN M1900 (Imported and locally-produced),Sidearms,China
FN M1922,Sidearms,China
Nagant M1895,Sidearms,China
Nambu Type 14 (Captured),Sidearms,China
Mauser M712,Sidearms,China
Mauser C96 (Locally-produced),Sidearms,China
M1 Carbine (American Lend Lease),Rifles,China
M1917 Enfield (American Lend Lease),Rifles,China
Springfield M1903 (American Lend Lease),Rifles,China
"Lee–Enfield No.4 Mk1 (American Lend Lease, used in training in Burma)",Rifles,China
Carcano,Rifles,China
FN M1924,Rifles,China
Mosin–Nagant M1891 and M1891/30,Rifles,China
Arisaka (Captured),Rifles,China
Vz. 24,Rifles,China
ZH-29,Rifles,China
Hanyang Type 88,Rifles,China
Gewehr 98,Rifles,China
Type 24 rifle (Licensed copy of Gewehr 98),Rifles,China
Mauser Karabiner 98k (Mainly issued to the early German trained divisions),Rifles,China
M3A1,Submachine guns,China
United Defense M42 (American Lend Lease and local production),Submachine guns,China
Thompson SMG (American Lend Lease and local production),Submachine guns,China
Sten Gun,Submachine guns,China
Erma EMP,Submachine guns,China
SIG 1920,Submachine guns,China
MP 34,Submachine guns,China
PPD-40,Submachine guns,China
Lewis gun,Light machine guns,China
Hotchkiss M1922 machine gun,Light machine guns,China
Bren LMG (Both in .303 and 7.92 Mauser),Light machine guns,China
FM 24/29 light machine gun,Light machine guns,China
Type 11 light machine gun (Captured),Light machine guns,China
Type 96 light machine gun (Captured),Light machine guns,China
Madsen machine gun,Light machine guns,China
Lahti-Saloranta M/26 (Very limited numbers),Light machine guns,China
SIG KE7,Light machine guns,China
ZB vz.26 (Imported from Czechoslovakia and locally produced),Light machine guns,China
Degtyaryov DP-28,Light machine guns,China
PM M1910,Heavy machine guns,China
Browning M1917 (Locally produced and American Lend Lease),Heavy machine guns,China
"Browning M1919 (medium machine gun, American Lend Lease in Burma)",Heavy machine guns,China
Hotchkiss M1914 machine gun,Heavy machine guns,China
Japanese Type 3 heavy machine gun (Captured),Heavy machine guns,China
Type 24 Maxim,Heavy machine guns,China
M1A1 flamethrower,Flamethrowers,China
M1 Bazooka,Anti-tank weapons,China
Boys anti tank rifle,Anti-tank weapons,China
Type 23 grenade,Grenades,China
Chinese stielhandgranate,Grenades,China
Type 30 bayonet (Captured),Close quarter weapons,China
HY1935 bayonet,Close quarter weapons,China
Qiang (spear),Close quarter weapons,China
Dadao,Close quarter weapons,China
Miao dao,Close quarter weapons,China
FN M1922,Sidearms,Independent State of Croatia
Walther P38,Sidearms,Independent State of Croatia
Carcano,Rifles,Independent State of Croatia
vz. 24,Rifles,Independent State of Croatia
Karabiner 98k (main rifle),Rifles,Independent State of Croatia
Sturmgewehr 44,Automatic rifles,Independent State of Croatia
Thompson submachine gun,Submachine guns,Independent State of Croatia
Suomi KP/-31,Submachine guns,Independent State of Croatia
Erma EMP,Submachine guns,Independent State of Croatia
MP 40,Submachine guns,Independent State of Croatia
PPSh-41,Submachine guns,Independent State of Croatia
Fiat-Revelli M1914,Machine guns,Independent State of Croatia
ZB vz. 26,Machine guns,Independent State of Croatia
MG 34,Machine guns,Independent State of Croatia
MG 42,Machine guns,Independent State of Croatia
Stokes mortar (60 mm),Mortars,Independent State of Croatia
Brandt M1927/31 (81 mm),Mortars,Independent State of Croatia
8 cm Granatwerfer 34,Mortars,Independent State of Croatia
Granatwerfer 42,Mortars,Independent State of Croatia
M1924 Stielhandgranate,Grenades,Independent State of Croatia
M1924 smoke grenade,Grenades,Independent State of Croatia
Panzerschreck,Anti-tank weapons,Independent State of Croatia
Panzerfaust,Anti-tank weapons,Independent State of Croatia
Kampfmesser 42,Knives and bayonets,Independent State of Croatia
Seitengewehr 98,Knives and bayonets,Independent State of Croatia
ČZ vz. 27,Sidearms,Czechoslovak Republic
ČZ vz. 38,Sidearms,Czechoslovak Republic
Pistole vz. 22,Sidearms,Czechoslovak Republic
Pistole vz. 24,Sidearms,Czechoslovak Republic
Lee–Enfield,Rifles,Czechoslovak Republic
Steyr Mannlicher M1895,Rifles,Czechoslovak Republic
vz. 24,Rifles,Czechoslovak Republic
vz. 33,Rifles,Czechoslovak Republic
ZH-29,Rifles,Czechoslovak Republic
Sten Gun,Submachine guns,Czechoslovak Republic
ZK-383,Submachine guns,Czechoslovak Republic
MP40,Submachine guns,Czechoslovak Republic
ZB vz. 26,Machine guns,Czechoslovak Republic
ZB vz. 30,Machine guns,Czechoslovak Republic
ZB-50,Machine guns,Czechoslovak Republic
ZB-53,Machine guns,Czechoslovak Republic
Browning Hi-Power,Sidearms,Denmark
Smith & Wesson Model 10,Sidearms,Denmark
Danish M1880/85 Army revolver,Sidearms,Denmark
Bergmann–Bayard M1910,Sidearms,Denmark
Lee–Enfield,Rifles,Denmark
Gevær M/89,Rifles,Denmark
Ag m/42,Rifles,Denmark
Gevær m/96,Rifles,Denmark
Karabiner 98k,Rifles,Denmark
Sten Gun (used by the Danish resistance movement),Submachine guns,Denmark
Lettet-Forsøgs submachine gun,Submachine guns,Denmark
Browning M1919,Machine guns,Denmark
M29 medium machine gun (heavy barrel version of the standard M24),Machine guns,Denmark
Madsen machine gun,Machine guns,Denmark
Sjögren shotgun (limited numbers),Shotguns,Denmark
Madsen 20 mm anti-aircraft cannon,Anti-tank weapons,Denmark
37 mm Fodfolkskanon M1937 (Danish Bofors 37 mm),Anti-tank weapons,Denmark
Makeshift grenades and bombs,Grenades,Denmark
Danish M1923,Grenades,Denmark
Browning Hi-Power,Sidearms,Estonia
Nagant 1895,Sidearms,Estonia
Lee Enfield,Rifles,Estonia
Mosin–Nagant,Rifles,Estonia
Suomi KP/-31,Submachine guns,Estonia
Tallinn Arsenal,Submachine guns,Estonia
Maxim M1910,Machine guns,Estonia
Madsen machine gun,Machine guns,Estonia
Solothurn S-18/1100,Anti-tank weapons,Estonia
Browning Hi-Power,Sidearms,Finland
Colt M1911 (captured),Sidearms,Finland
Smith & Wesson Model 10,Sidearms,Finland
Beretta M1934,Sidearms,Finland
Beretta M1935 (used by Home Guard),Sidearms,Finland
Ruby pistol,Sidearms,Finland
FN M1903,Sidearms,Finland
FN M1910 (used by Home Guard),Sidearms,Finland
FN M1922,Sidearms,Finland
Nagant M1895 (captured),Sidearms,Finland
Lahti L-35,Sidearms,Finland
Pistole vz. 24,Sidearms,Finland
Luger pistol (used by Finnish officers),Sidearms,Finland
Mauser C96 (614 examples used),Sidearms,Finland
"Walther P38 (Finnish UN peacekeeping forces, P1 variant)",Sidearms,Finland
TT-33 (captured),Sidearms,Finland
Lee–Enfield,Rifles,Finland
Winchester M1895,Rifles,Finland
Carcano (Special variant with attachable rifle grenade),Rifles,Finland
Mosin–Nagant M1939,Rifles,Finland
M28 rifle (also known as Pystykorva),Rifles,Finland
m/96 Mauser (also known as Carl Gustav M96),Rifles,Finland
Gewehr 98,Rifles,Finland
Karabiner 98k,Rifles,Finland
Sten (captured),Submachine guns,Finland
Suomi KP/-31,Submachine guns,Finland
MP 28 (and other variants of this weapon made in Finland and Switzerland itself),Submachine guns,Finland
MP 40 (delivered with German vehicles),Submachine guns,Finland
PPD-40 (captured),Submachine guns,Finland
PPSh-41 (captured),Submachine guns,Finland
PPS-43 (captured),Submachine guns,Finland
Lewis gun,Machine guns,Finland
Browning M1918,Machine guns,Finland
Browning M1919,Machine guns,Finland
Maxim M1910,Machine guns,Finland
Maxim M/32-33,Machine guns,Finland
Vickers machine gun,Machine guns,Finland
Chauchat (mainly used in the anti-aircraft role),Machine guns,Finland
Madsen machine gun (used by Norwegian and Danish volunteers),Machine guns,Finland
Lahti-Saloranta M/26,Machine guns,Finland
ZB vz. 26,Machine guns,Finland
Kg/1940 Light machine gun (used by Swedish volunteers),Machine guns,Finland
MG 08,Machine guns,Finland
MG 34 (limited use),Machine guns,Finland
SG-43 Goryunov,Machine guns,Finland
Degtyaryov DP-28 (captured),Machine guns,Finland
Lanciafiamme M1935,Flamethrowers,Finland
25 mm Hotchkiss anti-tank gun,Anti-tank weapons,Finland
Boys anti-tank rifle (as 14 mm pst kiv/37),Anti-tank weapons,Finland
Madsen 20 mm,Anti-tank weapons,Finland
Lahti L-39,Anti-tank weapons,Finland
Bofors 37 mm (as 37 PstK/36),Anti-tank weapons,Finland
Solothurn S-18/100,Anti-tank weapons,Finland
Panzerschreck,Anti-tank weapons,Finland
Panzerfaust,Anti-tank weapons,Finland
Molotov cocktail,Grenades,Finland
M1924 grenade,Grenades,Finland
Vickers M1931 (as 76 ITK 34),Anti-aircraft weapons,Finland
Madsen 20 mm anti-aircraft cannon,Anti-aircraft weapons,Finland
"7,62 ITKK 31 VKT",Anti-aircraft weapons,Finland
20 ITK 30,Anti-aircraft weapons,Finland
20 ITK 35,Anti-aircraft weapons,Finland
20 ITK 38K,Anti-aircraft weapons,Finland
20 ITK 40 VKT,Anti-aircraft weapons,Finland
75 ITK 37,Anti-aircraft weapons,Finland
Puukko,Knives,Finland
m/S-40,Mines,Finland
Panssarimiina m/36,Mines,Finland
Panssarimiina m/39,Mines,Finland
Panssarimiina m/S-39,Mines,Finland
Panssarimiina m/44,Mines,Finland
Star Model 14,Sidearms,France
Union pistol,Sidearms,France
Savage M1907,Sidearms,France
Smith & Wesson Model 10,Sidearms,France
FP-45 Liberator pistol(dropped by the US for the resistance),Sidearms,France
SACM M1935A,Sidearms,France
MAS M1873,Sidearms,France
MAS M1892,Sidearms,France
Ruby pistol,Sidearms,France
Luger P08 (Captured),Sidearms,France
Lee–Enfield No.4 Mk.I,Rifles,France
MAS-36,Rifles,France
Berthier M1892/16 carbine,Rifles,France
Berthier M1907/15 rifle,Rifles,France
Lebel M1886 rifle,Rifles,France
Karabiner 98k (French Resistance),Rifles,France
Winchester M1897,Shotguns,France
Winchester M1912,Shotguns,France
Thompson M1928,Submachine guns,France
Sten,Submachine guns,France
MAS-38,Submachine guns,France
Erma EMP,Submachine guns,France
MP 18,Submachine guns,France
MP 40 (French Resistance),Submachine guns,France
Lewis gun,Machine guns,France
Browning M1918,Machine guns,France
Browning M1919,Machine guns,France
Hotchkiss M1914,Machine guns,France
Hotchkiss M1922 machine gun,Machine guns,France
Bren light machine gun,Machine guns,France
Darne machine gun,Machine guns,France
MAC 24/29,Machine guns,France
Chauchat,Machine guns,France
M1 Bazooka,Anti-tank weapons,France
PIAT,Anti-tank weapons,France
Fusil anti-char Boys,Anti-tank weapons,France
F1 grenade (France),Grenades,France
OF 37 offensive grenade,Grenades,France
VB rifle grenade,Grenades,France
Brandt M1927/31,Mortars,France
Kegresse K (cable guided explosive machine),Guided explosive weapons,France
Star B,Sidearms,Germany
Browning HP (captured),Sidearms,Germany
Colt M1911 (captured),Sidearms,Germany
Beretta M1934 (under designation Pistole 671(i)),Sidearms,Germany
Astra 900,Sidearms,Germany
Ruby pistol,Sidearms,Germany
Nagant M1895 (captured),Sidearms,Germany
Pistole vz. 24 (captured),Sidearms,Germany
Pistolet wz. 35 Vis (captured),Sidearms,Germany
M712 Schnellfeuer,Sidearms,Germany
Luger P08,Sidearms,Germany
Sauer 38H,Sidearms,Germany
Mauser C96,Sidearms,Germany
Mauser HSC,Sidearms,Germany
Walther P38,Sidearms,Germany
Walther PP und PPK,Sidearms,Germany
Volkspistole,Sidearms,Germany
Tokarev TT-33 (captured),Sidearms,Germany
Krieghoff L flare pistole,Flare guns,Germany
M1 Garand (captured from the Americans and used under the designation of 7.62mm Selbstladegewehr 251(a)),Rifles,Germany
M1 Carbine (captured and were classified as the Selbstladekarabiner 455(a)),Rifles,Germany
Lee–Enfield (captured),Rifles,Germany
Winchester M1895 (issued to Volkssturm units),Rifles,Germany
Krag-Jorgensen rifle (captured),Rifles,Germany
vz. 24 (used as G24(t)),Rifles,Germany
vz. 33 (used as G33/40(t)),Rifles,Germany
Karabinek wz. 1929 (captured),Rifles,Germany
Kbsp wz. 1938M (captured during the invasion of Poland),Rifles,Germany
Mosin–Nagant M1891/30 (captured and designated as the Gewehr 252–256 series),Rifles,Germany
Gewehr 41,Rifles,Germany
Gewehr 43,Rifles,Germany
Gewehr 88 (issued to Volkssturm),Rifles,Germany
